Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
520140;Aparecida de Goiânia (GO);290,1;1157,6;15,91899083;201,68;0,47;37,7;0,764;336392
520145;Aparecida do Rio Doce (GO);604,2;4;269,3834227;218,7;0,51;28,55;0,754;2402
170110;Aparecida do Rio Negro (TO);1165;3;46,16093147;110,85;0,57;51,94;0,675;3517
500100;Aparecida do Taboado (MS);2757,5;6,7;372,3659818;224,05;0,54;46,79;0,763;18402
330015;Aperibé (RJ);89,5;89,4;182,2244447;240,16;0,56;34,89;0,756;8018
320050;Apiacá (ES);194,4;39,2;157,9475657;179,34;0,56;38,96;0,723;7615
510080;Apiacás (MT);20450;0,3;688,2820401;201,76;0,57;41,17;0,713;6665
350270;Apiaí (SP);949,2;28,6;248,1368534;171,29;0,62;55,47;0,716;27162
210083;Apicum-Açu (MA);249,6;44,5;148,3344362;45,4;0,56;64,1;0,565;11099
420125;Apiúna (SC);489,1;17,4;103,826914;243,02;0,48;34,79;0,768;8520
240100;Apodi (RN);1556,1;21,9;286,7324698;87,77;0,55;55,28;0,654;34174
290190;Aporá (BA);600,9;27,9;152,9747598;71,85;0,58;59,69;0,604;16769
520150;Aporé (GO);2909,6;1,2;380,0134615;273,28;0,61;33,72;0,752;3427
290195;Apuarema (BA);151,3;49,2;165,6271706;72,09;0,55;54,94;0,617;7443
410140;Apucarana (PR);556,8;193,6;304,054759;288,47;0,51;33,34;0,799;107827
230090;Apuiarés (CE);565,1;22,2;101,880262;62,09;0,58;61,79;0,622;12540
130014;Apuí (AM);54251;0,3;455,2778907;130,08;0,76;71,01;0,676;13864
280020;Aquidabã (SE);370,2;49,2;70,24454025;89,58;0,55;51,09;0,605;18344
500110;Aquidauana (MS);17008,5;2,6;118,832506;244,08;0,66;46,98;0,757;43440
230100;Aquiraz (CE);482,8;125,5;26,49647517;123,29;0,57;43,12;0,67;60469
420127;Arabutã (SC);131,1;31,7;357,8292728;312,91;0,51;31,84;0,812;4160
280030;Aracaju (SE);181,8;2535,2;0;352,74;0,64;45,03;0,794;461534
230110;Aracati (CE);1276;47,9;127,1063923;107,65;0,58;52,25;0,672;61187
290200;Aracatu (BA);1541,5;10;357,3538133;67,78;0,57;62,85;0,596;15491
290210;Araci (BA);1576,3;30,2;188,6341885;59,24;0,6;62,83;0,557;47584
310330;Aracitaba (MG);106,2;20,7;179,9133601;139,75;0,51;38,59;0,684;2086
230120;Aracoiaba (CE);628,1;38,3;78,6358281;72,31;0,57;56,55;0,597;24064
320060;Aracruz (ES);1419;45,4;55,86236117;250,45;0,61;45,19;0,772;64637
250080;Araçagi (PB);236,6;76,4;64,12311618;65,29;0,53;58,18;0,56;18095
310320;Araçaí (MG);186,3;11,5;75,17485752;172,99;0,52;35,24;0,748;2145
350275;Araçariguama (SP);146,7;75,9;44,97289834;271,2;0,53;38,43;0,77;11154
350280;Araçatuba (SP);1170,5;144,6;468,7514409;503,17;0,63;35,88;0,848;169254
290205;Araçás (BA);421,6;26,1;89,88724977;62,35;0,56;59,74;0,569;11003
260105;Araçoiaba (PE);96,9;155,8;37,34660512;75,41;0,56;55,61;0,637;15108
350290;Araçoiaba da Serra (SP);256,1;77,2;99,75608295;308,36;0,51;32,15;0,785;19816
520160;Araçu (GO);154,1;26,8;57,8069466;157,9;0,5;36,38;0,733;4127
310340;Araçuaí (MG);2243,1;15,8;385,0460233;131,71;0,64;54,39;0,687;35713
520170;Aragarças (GO);714;23,2;331,2249289;188,59;0,53;41,79;0,748;16592
520180;Aragoiânia (GO);219,5;29,2;33,30960623;199,02;0,51;34,15;0,759;6424
170130;Aragominas (TO);1067,1;5,8;334,6018219;84,41;0,6;59,76;0,626;6180
170190;Araguacema (TO);2789,9;1,9;202,2506275;119,32;0,65;58,05;0,673;5414
170200;Araguaçu (TO);5188;1,8;347,4864279;190,58;0,59;39,65;0,705;9346
510100;Araguaiana (MT);6438,1;0,5;456,6803668;185,9;0,53;37,85;0,737;3426
510120;Araguainha (MT);691,1;1,9;355,6201279;139,64;0,48;45,05;0,731;1352
170210;Araguaína (TO);3920,1;28,8;330,9825693;211,51;0,62;45,06;0,749;113143
170215;Araguanã (TO);869,4;4,8;399,939894;122,4;0,66;54,51;0,677;4193
210087;Araguanã (MA);1103,3;8,2;158,3107319;52,15;0,67;66,99;0,548;9123
520215;Araguapaz (GO);2201,6;3,3;229,8391842;213,52;0,62;38,4;0,729;7310
310350;Araguari (MG);2741;37;462,4720875;321,88;0,55;36,22;0,815;101974
170220;Araguatins (TO);2297,3;11,3;502,3445837;101,84;0,61;53,24;0,64;26010
